en-CA,fr-CA
2 CREAM (XL),2 Patates hachées brunes
2 Eggs & Brown Toast,2 Splenda
2 Eggs & White Toast,2 SPLENDA (G)
"2 Eggs, Bacon & Brown Toast",2 SPLENDA (M)
"2 Eggs, Bacon & White Toast",2 SPLENDA (S)
2 Fried Eggs,2 SPLENDA (TG)
2 Fried Eggs & Brown Toast Meal,2 sucre
2 Fried Eggs & White Toast Special,2 SUCRE (G)
"2 Fried Eggs, Bacon, & Brown Toast Meal",2 SUCRE (M)
"2 Fried Eggs, Bacon, & White Toast Meal",2 SUCRE (P)
2 Friendship Bracelets,2 SUCRE (TG)
2 Hamburger,2 tranches de fromage seulemen
2 Hamburger Extra Value Meal,2 tranches de fromage seulement
2 Hamburgers,20 McCroquettes
2 Hash Browns,20 morceaux de Poulet McCroque
2 Ketchup Packets,20 morceaux de Poulet McCroquettes (portion pour 2
2 McMuffins with Egg Offer,20 morceaux de Poulet McCroquettes (portion pour 2)
2 Milk,20 Poulet McCroquettes
2 MILK (L),250ml de lait au Chocolat
2 MILK (M),2Dollar Promo bannière
2 MILK (S),3 Boisson à l’avoine
2 MILK (XL),3 bouchées de patates hachées
2 Oat Beverage,3 bouchées de patates hachées brunes
2 Pies,3 crème
2 Regular McFlurry for $6.00,3 CRÈME (G)
2 RMHC Cookies,3 CRÈME (M)
2 S French Fries,3 CRÈME (P)
2 S Fry,3 CRÈME (TG)
2 Snack McFlurry for $5.00,3 lait
2 Splenda,3 LAIT (G)
2 SPLENDA (L),3 LAIT (M)
2 SPLENDA (M),3 LAIT (P)
2 SPLENDA (S),3 LAIT (TG)
2 SPLENDA (XL),3 Poulet McCroquettes
2 Sugar,3 Splenda
2 SUGAR (L),3 SPLENDA (G)
2 SUGAR (M),3 SPLENDA (M)
2 SUGAR (S),3 SPLENDA (P)
2 SUGAR (XL),3 SPLENDA (TG)
2% Milk,3 sucre
20 Chicken McNuggets,3 SUCRE (G)
20 Chicken McNuggets (Serves 2,3 SUCRE (M)
20 chicken McNuggets (Serves 2),3 SUCRE (P)
20 Chicken McNuggets (Serves 2),3 SUCRE (TG)
20 McNugget Sharebox,4 Boisson à l’avoine
20 McNugget Sharebox (Serves 2,4 bouchées de patates hachées
20 McNugget Sharebox (Serves 2),4 bouchées de patates hachées brunes
20 McNugget Sharebox w Pie,4 crème
20 McNugget Sharebox w/ 4 Cookies,4 CRÈME (G)
20 McNuggets,4 CRÈME (M)
20 McNuggets Extra Value Meal (Serves 2),4 CRÈME (P)
20-piece Chicken McNuggets Mea,4 CRÈME (TG)
20-piece Chicken McNuggets Meal (Serves 2),4 lait
2Dollar Promo Banner,4 LAIT (G)
3 Cheeseburger or Hamburger of,4 LAIT (M)
3 Cheeseburger or Hamburger offer,4 LAIT (P)
3 Chicken McNuggets,4 LAIT (TG)
3 Cream,4 McCroquettes
3 CREAM (L),4 McCroquettes Offre
3 CREAM (M),4 morceaux de Poulet McCroquettes
3 CREAM (S),4 Poulet McCroquettes
3 CREAM (XL),4 Splenda
3 Grain Sesame Ginger Salad,4 SPLENDA (G)
3 McNug & 2 Cookies,4 SPLENDA (M)
3 McNug & Sundae,4 SPLENDA (S)
3 McNuggets,4 SPLENDA (TG)
3 McNuggets & Dessert,4 sucre
3 McNuggets Pairing,4 SUCRE (G)
3 Milk,4 SUCRE (M)
3 MILK (L),4 SUCRE (P)
3 MILK (M),4 SUCRE (TG)
3 MILK (S),40 morceaux de Poulet McCroquettes (portion pour 4)
3 MILK (XL),40 Poulet McCroquettes
3 Mini Potato Hash Browns,6 Biscuits douceur
3 Oat Beverage,6 biscuits OMRM
3 Splenda,6 Danois
3 SPLENDA (L),6 Mccroq et côte
3 SPLENDA (M),6 McCroquettes
3 SPLENDA (S),6 muffins assortis
3 SPLENDA (XL),6 muffins au choix
3 Sugar,6 muffins cuits au four assort
3 SUGAR (L),6 muffins cuits au four assortis
3 SUGAR (M),6 muffins cuits au four assortis
3 SUGAR (S),6 muffins cuits au four au choix
3 SUGAR (XL),6 Poulet McCroquettes
4 Can Dine,8 bouchées de patates hachées
4 Chicken McNuggets,8 bouchées de patates hachées brunes
4 Cream,À-Côte
4 CREAM (L),À-côté
4 CREAM (M),À-Côté
4 CREAM (S),accessoires
4 CREAM (XL),AHA Lime Pastèque Eau pétillan
4 McNug & Cookies,AHA Lime Pastèque Eau pétillante
4 McNuggets,Aîné
4 McNuggets Offer,Aîné chocolat chaud en sachet
4 McNuggets VM,Aîné Coca-Cola
4 Milk,Aîné Coca-Cola Zero
4 MILK (L),Aîné Coke Diète
4 MILK (M),Aîné Fruitopia fraises
4 MILK (S),Aîné Fruitopia orange
4 MILK (XL),Aîné Racinette Barq's
4 Mini Potato Hash Browns,Aîné Sprite
4 Oat Beverage,Ajouter eau chaude
4 Splenda,Americano
4 SPLENDA (L),Asiago et Bacon ***
4 SPLENDA (M),Assaisonnement
4 SPLENDA (S),Assaisonnement à l'ail
4 SPLENDA (XL),Assaisonnement ramyeon
4 Sugar,Aucun accessoire
4 SUGAR (L),Aucun couvercle à boisson froi
4 SUGAR (M),Aucun couvercle à boisson froide
4 SUGAR (S),Authentique Croissant Francais
4 SUGAR (XL),Authentique Croissant Francais avec Fromage
40-piece Chicken McNuggets,Autre receipt
40-piece Chicken McNuggets (Serves 4),Autres boissons
6 Baked Muffins Assorted,Autres boissons chaudes
6 Caring Cookies,Autres boissons froides
6 Chicken McNuggets,Autres collations
6 McNugget,Autres collations et à-côtés
6 McNugget Extra Value Meal,Autres condiments
6 McNuggets,Autres hamburgers
6 McNuggets & Side Deal,Autres sandwichs au poulet
6 McNuggets Extra Value Meal,Avec ustensiles
6 Muffins Assorted,Avec/pas ustensiles
6 RMHC Cookies,Bacon
6 Signature Danish,Bacon 2 tranches complètes
8 Mini Potato Hash Browns,Bacon de dos
Acai Blueberry Pom Vita Wate,Bacon McCrêp oe
Acai Blueberry Pomegranate Vitamin Water,Bacon McCrêpes avec œuf
Accessories,Bacon McCrêpes oeuf
ADB Bagel Type,Bacon McMuf oeuf
Add Hot Water,Bacon McMuffin avec œuf
Advantage Card,Bacon McMuffin oeuf
Affogato,Bacon Oeuf McMuffin et phb duo
AHA Lime Watermelon,Bag Bac Œuf et Gouda ***
AHA Lime Watermelon Sparkling Water,Bag Bac oeuf Goud
All Day Breakfast,Bagel
Almond Beverage,Bagel ***
Almond Milk,Bagel au bacon et guacamole
Americano,Bagel b-oeuf  & 2PHB ***
Americano Coffee,Bagel b-oeuf ***
any McChicken Sandwich,Bagel b-oeuf & 2PHB ***
Apple & Blueberry Cream Cheese,Bagel b-oeuf & PHB ***
Apple & Blueberry Cream Cheese Pies,Bagel Bacon & guacamole
Apple Danish,Bagel bla b-oeuf
Apple Juice,Bagel bla from crè
Apple Pie Pairing,Bagel blanc b-oeuf
Apple Pie Special,Bagel blanc fromcrèm
Apple Slices,Bagel BLT ***
Apple Topping,Bagel BLT & PHB ***
Apples,Bagel BLT plein-goût
Applewood Sauce,Bagel BLT R ***
Asiago & Bacon Chkn ***,Bagel BLT Tout
Asiago & Bacon Chkn EVM ***,Bagel fromage
Asiago & Bacon Chkn LV ***,Bagel grains
Asiago & Bacon Chkn RV ***,Bagel lt oeuf ***
Asian Cashew Salad,Bagel LT oeuf ***
Asian Sesame Fusion Salad,Bagel lt oeuf & PHB ***
Ask Me,Bagel nature
Authentique French Croissant w,Bagel Nature
Authentique French Croissant with Cheese,Bagel nature avec bacon et oeuf
Avoidable Driver Wait Time Fee,Bagel nature avec oeuf et bacon
B-2fr Htck Brn Tst,Bagel nature avec oeuf et saucisse
B-2fr Htck Brn Tst VM,Bagel nature avec produit régulier fromage à la crème
B-2fr Htck Wht Tst,Bagel nature avec produit régulier fromage à la crème
B-2fr Htck Wht Tst VM,Bagel nature avec rég from crè
B-Chsb Deluxe,Bagel nature avec régulier fromage à la crème
B-Egg Bagel,Bagel nature avec saucisse et oeuf
B-Egg Bagl VM,Bagel nature bacon et oeuf
B-Egg Guac Bagel***,Bagel nature BLT
Bac Dbl Cheeseburger,Bagel nature BLT avec oeuf
Bac Deluxe Grilled Chicken,Bagel nature oeuf et bacon
Bac Egg Bagl VM,Bagel nature oeuf et saucisse
Bacon 'n Egg Croissant,Bagel nature prod rég from crè
Bacon 'n Egg Croissant on Chee,Bagel nature saucisse et oeuf
Bacon 'n Egg Croissant on Cheese Croissant,Bagel origin b-oeuf
Bacon 'n Egg McMuffin,Bagel original
Bacon 'N Egg McMuffin,Bagel Original BLT
Bacon 'N Egg McMuffin Extra Value Meal,Bagel p-goût
Bacon 'n' Egg McMuffin,Bagel plein-goût
Bacon 'n' Egg McMuffin Extra Value Meal,Bagel plein-goût avec produit régulier fromage à la crème
Bacon & Guacamole Bagel,Bagel plein-goût bacon et oeuf
Bacon Chsb Deluxe,Bagel plein-goût BLT avec oeuf
Bacon Dbl Chsb,Bagel plein-goût rég from crèm
Bacon Deluxe Grilled Chicken Sandwich,Bagel plein-goût sauc et oeuf
Bacon Deluxe Grilled Chicken Sandwich Extra Value Meal,Bagel plein-goût saucisse et oeuf
Bacon Deluxe McCrispy,Bagel R ***
Bacon Deluxe McCrispy Extra Value Meal,Bagel Sandwichs
Bacon Double Cheeseburger,Bagel sésa avec bacon et oeuf
Bacon Double Cheeseburger Extra Value Meal,Bagel sésa avec oeuf et bacon
Bacon Egg Bagel ***,Bagel sésa avec oeuf et saucisse
Bacon Egg McMuffin,Bagel sésa avec saucisse et oeuf
Bacon Egg McMuffin & Hash Brown Deal,Bagel sésa bacon et oeuf
Bacon Egg McMuffin & HB Deal,Bagel sésa BLT avec oeuf
Bacon McWrap Grilled,Bagel sésa oeuf et bacon
Bacon Pieces,Bagel sésa oeuf et saucisse
Bacon Strip,Bagel sésa saucisse et oeuf
Bacon Strips,Bagel sésame avec fromage à la crème original
"Bacon, Egg & Cheese McGriddles",Bagel sésame avec régulier fro
"Bacon, Egg & Cheese McGriddles Extra Value Meal",Bagel sésame avec régulier fromage à la crème
Bag,Bagel sésame BLT
Bag B-Egg Gouda,Bagel sésame from crème orig
Bag B-Egg Gouda VM,Bagels
Bag Fee (2 Bags),Bagels et tartinades
Bag Selection,"Bagels grillés, etc."
Bagel,Bagels-matin
Bagel ***,Bâtonnets
Bagel & Soup,Beurre
Bagel Bacon Egg EVM,Beurre arachide avec couteau
Bagel Bacon Egg Guac EVM,Beurre avec couteau
Bagel Crm Chs with Soup,Beurre d'arachide
Bagel Plain,Bien grillé
Bagel Plain VM,Big Mac
Bagel Sandwich,Big Mac (sans viande)
Bagel Sandwiches,Big Mac enfant
Bagel Sausage Egg EVM,Big Mac et côte
Bagel Type,"Big Mac, sans viande"
Bagel with Butter,Billet hockey
Bagel with Cream Cheese,Biscuit arc-en-ciel
Bagels,Biscuit aux morceaux de chocol
Bagels & Spreads,Biscuit aux morceaux de chocolat
Bagl ***,Biscuit s'mores
Bagl B-Egg EVM ***,Biscuits
Bagl B-Egg VM ***,Biscuits douceur
Bagl Bac Egg 'N Gouda,Bist Thaïe m frites ***
Bagl Bac Egg 'N Gouda VM,Blanc 250ml de lait
Bagl Bac Egg VM ***,Blanc d'oeuf
Bagl Bacon Egg  ***,Bleuets
Bagl Bacon Egg ***,BLT poulet ***
Bagl BLT ***,Boisson
Bagl BLT EVM ***,Boisson à l’avoine
Bagl BLT VM ***,Boisson café chaude specialite
Bagl Bny B-Egg  VM ***,Boisson d'amande
Bagl Bny B-Egg VM ***,Boisson fontaine
Bagl Bny Bacon Egg  ***,Boisson Latte/Cappuccino
Bagl Bny Bacon Egg ***,Boisson McCafé chaude
Bagl Crm Chs VM,Boisson McCafé Chaude
Bagl Egg BLT ***,Boisson Splash fraîcheur
Bagl Egg BLT EVM ***,Boissons chaudes
Bagl Egg BLT VM ***,Boissons de fontaine
Bagl Egg LT ***,Boissons en bouteille
Bagl Egg LT EVM ***,Boissons en bouteille
Bagl Egg LT VM ***,Boissons fontaine - enfant
Bagl Egg LT***,Boissons froides
Bagl Plain ***,Boissons Splash fraîcheur
Bagl R ***,Boîte à café
Bagl Sau Egg ***,Boîte à café (pour 12 pers.)
Bagl Sau Egg VM ***,Boîte à décaf
Bagl w/ CC ***,Boîte à décaf (pour 12 pers.)
Bagl w/ CC VM ***,Boîte à partager (2 personnes)
Bagl w/ R/CC Smk Slmn,Boîte à partager (pour 2 personnes)
Bagl w/ Spreads,Boîte à partager 20 McCroq
Bagl w/ Spreads ***,Boîte à partager des Fêtes
Bagl w/Cream Chs,Boîte à partager des Fêtes
Bags,Boîte à partager des Fêtes avec chaussons
Baked Apple Pie,Bouchées de patates du Grincheux
Baked Blueberry Cream Cheese Pie,Bout consignée
Baked Muffins,Bouteille
Baked Pies,Bouteille au miel
Bakery,Bouteille consignée
Bakery & Sweets & Treats,Bouteille d'eau
Bakery Pairings,Bouteille d'eau DASANI
Barbeque Sauce,Bouteille de lait 1%
Barq's Root Beer,Bouteille de lait 1% au choco
BBQ Sauce,Bouteille de lait 1% au chocolat
Begel,Bouteille de Sprite
Benny B-Egg Bagl VM,Brioche à la cannelle
Benny B-Egg Bgl VM ***,Brunch
Benny Bacon Egg Bagel ***,Burrito-matin
Bergamia Grey Tea,Burritos-matin
Berry McPops,Café frappé
Big Arch,Café frappé + crème fouettée + coulis au choc.
Big Breakfast,Café frappé au caramel salé
Big Mac,"Café frappé au caramel salé, format moyen"
Big Mac (No Meat),"Café frappé au caramel salé, grand format"
Big Mac (No Meat) Extra Value Meal,"Café frappé au caramel salé, petit format"
Big Mac & Side Deal,Café glacé
Big Mac Extra Value Meal,Café glacé à la vanille
Big Mac Offer,Café glacé au caramel salé
Big Mac Sauce,Café glacé avec boisson à l'avoine
"Big Mac, No Meat",Café glacé avec sirop sans sucre
Biscoff McPops,Café glacé/nuage
Bistro Sandwiches,Café infusé
Black,Café infusé à froid
Black & White Sesame Bun,Café infusé à froid sucré avec boisson à l'avoine
Black & White Sesame Seed Bun,Café infusé aînés
Black Bean Salad,Café infusé décaféiné
Blackberry Passionfruit Flavoured Syrup,Café infusé décaféiné aînés
Blackberry Passionfruit Refresher,Café infusé et thé
Block Party GC,Café nuage glacé
Block Party Gift Certs,Café nuage glacé à la vanille française
BLT Bagel,"Café nuage glacé à la vanille française, format moyen"
BLT Bagl VM,"Café nuage glacé à la vanille française, grand format"
BLT Chicken ***,"Café nuage glacé à la vanille française, petit format"
Blue Raspberry Syrup,Café nuage glacé au caramel salé
Blue Stainless Bottle,"Café nuage glacé au caramel salé, format moyen"
Blueberries,"Café nuage glacé au caramel salé, grand format"
Blueberry,"Café nuage glacé au caramel salé, petit format"
Blueberry Cream Cheese Pie,Café nuage glacé avec sirop sans sucre
Blueberry Muffin,"Café nuage glacé avec sirop sans sucre, format moyen"
Blueberry Pomegranate Real Fruit Smoothie,"Café nuage glacé avec sirop sans sucre, grand format"
Blueberry Pomegranate Smoothie,"Café nuage glacé avec sirop sans sucre, petit format"
Book,"Café nuage glacé, format moyen"
Book or Toy,"Café nuage glacé, grand format"
Bottle Deposit,"Café nuage glacé, petit format"
Bottled Beverages,Café surcharge
Bottled Drink,Café tg surcharge
Bottled Water,Café/thé
Breakfast Bundle for 4,Café/Thé
Breakfast Bundle for 4 (Serves 4),Canette consignée
Breakfast Burrito,Canneberges & orange (contient maintenant du soja)
Breakfast Burritos,Cappuccino
Breakfast Menu,Cappuccino (lait 2%)
Breakfast Poutine,Cappuccino (lait aux amandes)
Breakfast Sandwich,Cappuccino (lait d'amande)
Breakfast Sandwiches,"Cappuccino, format moyen (lait aux amandes)"
Breakfast Wraps & Burritos,"Cappuccino, grand format (lait aux amandes)"
Brewed Coffee & Tea,"Cappuccino, petit format (lait aux amandes)"
Brewed Iced Tea,Caramel
Brie Cheese,Caramel poudre
Brown Toast,Carottes et concombres
Brown Toast Special,Carottes râpées
Brunch,Carte avantage
Bubble Heart Mug,Carte cadeau 10$
Buffalo Chicken Snack Wrap,Carte cadeau 20$
Buffalo Crispy Snack Wrap,Carte cadeau 25$
Buffalo Grilled Snack Wrap,Carte cadeau 5$
Buffalo Sauce,Carte cadeau 50$
Buffalo SnackWrap® w/ Grilled Chicken McValue Meal,Cartes K-Pop
Bun,CC Saint-Valentin
Bundles and Sharing,CC St-Valentin
Burgers,Certif Block Party
Burnt Sugar Topping,Certif Halloween
Burrito Mix,Certificat Block Party
Butter,Certificat Halloween
Butter Packet,Chai frappé à la vanille
Butter with knife,Chai frappé à la vanille
"Buy One, Get One Free*",Chai frappé van. + cr. fouettée + coulis au choc.
C Water,Charge fête
Cadbury Crème Egg McFlurry,Chaussettes
Caesar Dressing,Chausson aux bleuets
Caesar Entrée Salad,Chausson aux bleuets et au fromage à la crème cuit au four
Caesar McWrap Grilled Chicken,Chausson aux pommes
Caesar McWrap with Grill Chick,Chausson aux pommes cuit au four
Caesar Signature McWrap with Grilled Chicken,Chausson pommes
Caesar Signature McWrap with Grilled Chicken Extra Value Meal,Chaussons cuits au four
Caesar Veggie Mix,Chaussons pommes/bleuets et fr
Café Sandwiches,Chaussons pommes/bleuets et fromage à la crème
Cajun Aioli Sauce,Cheddar naturel
Cajun McWrap Grilled Chicken,Child Cup
Cajun McWrap with Grill Chick,Chips tortillas
Cajun Ranch McWrap,Chocolat
Cajun Ranch McWrap Value Meal,Chocolat chaud
Cajun Signature McWrap with Grilled Chicken,Chocolat chaud
Cajun Signature McWrap with Grilled Chicken Extra Value Meal,Chocolat chaud  (lait 2%)
Can Deposit,Chocolat chaud (lait 2%)
Canada Stainless Cup,Chocolat chaud (lait aux amandes)
Canadian Back Bacon,Chocolat chaud en sachet
Cappuccino,Chocolat chaud gourmet
Cappuccino (2% Milk),Chocolat chaud L
Cappuccino (Almond Milk),"Chocolat chaud, format moyen (lait aux amandes)"
Carafe Item,"Chocolat chaud, grand format (lait aux amandes)"
Caramel,"Chocolat chaud, petit format (lait aux amandes)"
Caramel Latte (Almond milk),Choisir À-Côté Joyeux Festin
Caramel Latte (Almond Milk),Choisir bagel
Caramel Powder,Choisir biscuits
Caramel Sundae,Choisir boisson chaude
Caramelized Coconut,Choisir boisson Joyeux Festin
Caramelized Onions,Choisir boisson McCafe
Caring Cookies,Choisir boisson/s
Carolina BBQ Sauce,Choisir boisson/s M
Carrier Mug,Choisir café
Carrot and Cucumber,Choisir café/déca
Carrot Muffin,Choisir café/thé
Ceramic Mug,Choisir Carafe
Chai Cardamom Tea Latte (2% Milk),Choisir chaussons
Chai Cardamom Tea Latte (Almond Milk),Choisir Côte
Chai Glow Tea,Choisir croissants
Cheese,Choisir des frites
Cheese Bagel,Choisir DTJ Bagel
Cheese Bagl w/ Spreads,Choisir Joyeux Festin
Cheese Bagl w/ Spreads ***,Choisir MacPoulet au choix à X
Cheese Croissant,Choisir MacPoulet au choix à X$
Cheese Curds,Choisir McFlurry
Cheese Sauce,Choisir mini-vienn
Cheeseburger,Choisir muffins
Cheeseburger Deluxe,Choisir p café
Cheeseburger Deluxe Extra Value Meal,Choisir petit café
"Cheeseburger, No Meat",Choisir sandwich
Cheesecake Pieces,Choisir Sandwich
Chewy Chocolate Chunk Cookie,Choisir sandwich bagel
CHF ATTRACT PROMO 5,Choisir sandwich Bagel
Chicken & Bacon McWrap,Choisir sandwich McMuffin
Chicken & Bacon McWrap Extra Value Meal,Choisir sauce tartare
Chicken & Bacon McWrap with Crispy Chicken,Choisissez vos 2 McPops
Chicken & Bacon McWrap with Crispy Chicken Extra Value Meal,Choisissez vos 6 McPops
Chicken & Bacon McWrap with Grilled Chicken,Classique
Chicken & Bacon McWrap with Grilled Chicken Extra Value Meal,Classique
Chicken & Bacon Signature McWrap with Grilled Chicken Extra Value Meal,Classique McFlurry Gâteau au fromage et fraises
Chicken & Fish,Classique McFlurry Oreo
Chicken Big Mac,Classique McFlurry Skor
Chicken Big Mac Extra Value Meal,Classique McFlurry Smarties
Chicken Big Mac Patty,Coca-Cola
Chicken Breakfast Wrap,Coca-Cola Zero
Chicken Breakfast Wrap Extra Value Meal,Coca-Cola zéro
Chicken McGriddle,Coca-Cola zéro sucre
Chicken McGriddle Extra Value Meal,Coke
Chicken McGriddle or McMuffin Sandwich,Coke Diète
Chicken McGriddle/McMfn,Coke Syrup
Chicken McGriddles,Coke tourbillon de fraise
Chicken McMuffin,"Coke tourbillon de fraise, format moyen"
Chicken McMuffin Extra Value Meal,"Coke tourbillon de fraise, grand format"
Chicken Patty,"Coke tourbillon de fraise, petit format"
Chicken Snack Wrap with Crispy Chicken,Coke Zero Syrup
Chicken Snack Wrap with Grilled Chicken,Collation
Chickpea & Edamame Salad,Collation McFlurry Gâteau au fromage et fraises
Child Chocolate Shake,Collation McFlurry Oreo
Child Clear Cup,Collation McFlurry Skor
Child Cup,Collation McFlurry Smarties
Child Cup FS,Collation sur le pouce
Child Size,Collations et à-côtés
Child Size Barq's Root Beer,Commande remise
Child Size Chocolate Shake,Concombre
Child Size Coca-Cola,Condiments
Child Size Coke,Condiments à côté
Child Size Coke Zero,Confiture avec couteau
Child Size Diet Coke,Confiture Double fruit
Child Size Fruitopia Orange,Consigne jus
Child Size Fruitopia Strawberry,Consigne lait
Child Size Fuze Iced Tea,Cornet à la vanille
Child Size FUZE Iced Tea,Cornet vanille
Child Size NESTEA Iced Tea,Cornichons
Child Size Soft Drinks,Côte
Child Size Sprite,Coulis de chocolat
Child Size Strawberry Shake,Coupé en deux
Child Size Vanilla Shake,Coupe gl caramel
Child Soft Drinks,Coupe gl chocolat
Child Strawberry Shake,Coupe glacé
Child Vanilla Shake,Coupe glacée à l'espresso
Chili Lime Glaze,Coupe glacée au caramel
Chocolate Brownie Muffin,Coupe glacée au caramel fondant
Chocolate Chip Muffin,Coupe glacée au chocolat
Chocolate Drizzle,Coupe glacée au chocolat fondant
Chocolate Hazelnut Iced Latte (2% Milk),Coupe glacée aux caramel
Chocolate Hazelnut Latte (2% Milk),Coupe glacée aux fraises
Chocolate Milk,Coupe glacée caramel
Chocolate Milk Bottle,Coupe glacée chocolat
Chocolate Pieces,Coupes glacées et cornet
Chocolate Triple Thick Milkshake,Couteaux
Cilantro Lime Sauce,crème
Cinnamon Swirls,Crème
Classic Ranch,Crème fouettée
Cloud & Iced Coffee,Crème fouettée et coulis de ch
Cloud Iced Coffee,Crème fouettée et coulis de chocolat
Cloud Iced Coffee with Sugar-Free Syrup,Crêpes
Coca Cola,Crêpes
Coca-Cola,Crêpes et bacon
Coca-Cola Glass,Crêpes et saucisse
Coca-Cola Pin,Crêpes ML
Coffee  L Upcharge,"Crêpes, collations et à-côtés"
Coffee Bag Gift Basket,Croissant
Coffee Frappé,Croissant au fromage
Coffee Frappé w/ Whipped Cream & Choc Drizzle,Croissant dinde et cheddar BLT
Coffee L Upcharge,Croissant français authentique
Coffee or Tea,Croissant français authentique avec bacon et œuf
Coffee XL Upcharge,Croissant LT avec œuf
Coffee/Decaf,Croissant/Mini-viennoiseries
Coffee/Tea Only,Croissants sandwichs
Coke,Croustade
Coke Syrup,Cuillères
Coke Syrup CS,Danoise aux pommes
Coke Zero,Danoises Signature
Coke Zero Can,Dans un verre
Coke Zero Sugar Can,Dbl Dbl
Coke Zero Syrup,Dbl h-from (GCM)
Cold Brew,Dbl h-from comme Mac
Cold Drinks,Dbl h-fromage LT
Cold Foam,Dbl hamb fromage LT
Cold Reusable Cup,DBL Quart de livre avec bacon
Condiments,DBL Quart de livre avec bacon et oignons croust.
Cookies,Déjeuner toute la journée
Cookies,Déjeuner traditionnel et 1 pat hach brun
Courier Tip,Déjeuner traditionnel et PHB
Couscous,Délice d’orange
Couscous Salad,"Délice d’orange, format moyen"
Crafted Soda,"Délice d’orange, grand format"
Crafted Sodas,"Délice d’orange, petit format"
Cranberry & Orange Muffin,Demandez-moi
Cranberry Orange Muffin,Demi crème
Cranberry Orange Muffin (Now contains soy),Demi déca infusé
Cranberry Packet,Demi Filet de poisson
Cranberry Sauce,Demi glace
Cream,Demi lait
Cream Cheese,Demi splenda
Cream Cheese Icing,Demi Splenda
Cream Chs On Side,Demi sucre
Cream Packet,Dessert
Creamy Avocado Ranch McWrap,Deux McFlurry collation
Creamy Avocado Ranch McWrap,"Deux McFlurry, classique 6 $"
Creamy Chipotle McWrap,"Deux McFlurry, format classique, pour 6$"
Creamy Chipotle McWrap Extra Value Meal,"Deux McFlurry, format collation, pour 5$"
Creamy Chipotle McWrap with Crispy Chicken,Deux pour le prix d'un*
Creamy Chipotle McWrap with Crispy Chicken Extra Value Meal,Deux Trios ordinaire
Creamy Chipotle McWrap with Grilled Chicken,Diet Coke Syrup
Creamy Chipotle McWrap with Grilled Chicken Extra Value Meal,Dinde
Creamy Chipotle Sauce,Don 1 $
Creamy Dijon Mustard,Don à la Maison Ronald McDonal
Creamy Spicy Sauce,Don à la Maison Ronald McDonald
Creamy Strawberry Coke,Dose supplémentaire de sirop mangue-ananas
Crispy Chicken Patty,Dose supplémentaire sirop mûre-fruit de la passion
Crispy Onions,Double Big Mac
Crispy Ranch Snack Wrap,Double double
Crispy Snack Wrap,Double espresso
Croissant,Double filet de poisson
Croissants Sandwiches,Double h-fromage
Crumble,Double hamburger
Cucumber,Double Hamburger
Cut in half,Double hamburger avec fromage
Dasani Water,Double Hamburger avec fromage
Dbl Chsb LT,Double Hamburger avec fromage et bacon
Dbl Dbl,double hamburger fromage
