539,539,539,539
539,539,539,539
539,539,539,539
539,539,539,539
539,539,539,539
489,489,489,489
489,489,489,489
489,489,489,489
,,,
,,,
399,399,399,399
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
0,0,0,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
299,299,299,299
569,469,569,469
619,519,599,519
479,419,479,419
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
299,299,299,299
299,269,299,269
299,269,299,269
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
553,429,513,429
,,,
,,,
,,,
,,,
,,,
553,429,513,429
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
679,599,669,599
759,639,759,639
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
489,449,439,449
,,,
719,569,679,569
,,,
759,699,739,699
,,,
779,749,759,749
,,,
929,869,899,869
,,,
,,,
979,919,949,919
799,729,779,729
,,,
959,899,939,899
,,,
,,,
379,379,379,379
,,,
,,,
,,,
,539,,
,449,,
,,,
,,,
,,,
,,,
,,,
,,,
449,389,459,389
579,469,549,469
,,,
,,,
619,549,629,549
,,,
129,99,129,99
129,99,129,99
739,599,719,599
,,,
779,649,769,649
,,,
749,629,739,629
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
939,729,919,729
939,729,869,729
,,,
,,,
939,799,919,
,,,
979,789,959,789
979,789,959,789
919,799,919,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
329,279,359,279
,,,
529,399,519,399
329,279,329,279
379,289,379,289
379,289,379,289
319,259,319,259
379,289,379,289
,,,
139,139,139,139
,300,,
,350,,
,350,,
,350,,
,350,,
,350,,
,,,
139,139,139,139
,,,
,,,
,,,
439,369,449,369
,,,
529,399,519,399
419,459,439,459
379,309,389,309
379,309,389,309
,,,
379,309,389,309
,,,
,,,
379,309,389,309
379,309,389,309
359,249,349,249
359,249,349,249
569,479,569,479
569,479,569,479
569,469,569,469
439,369,449,369
,,,
499,399,479,399
,,,
,,,
,,,
,,,
499,399,479,399
,,,
,,,
499,399,479,399
,,,
,,,
,,,
,,,
,,,
183,183,183,183
429,389,429,389
,,,
379,309,389,309
519,399,519,399
519,399,519,399
519,399,519,399
269,269,269,
,269,,
379,309,389,309
,369,449,369
,,,
,,,
,,,
,,,
183,183,183,183
119,115,119,115
359,309,389,309
119,115,119,115
,,,
183,183,183,183
119,115,119,115
,,,
183,183,183,183
,,,
119,115,119,115
,,,
,,,
,,,
279,149,269,159
,,,
,,,
239,239,239,239
,,,
239,239,239,239
219,239,219,239
,,,
239,239,239,239
239,239,239,239
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
559,439,539,439
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
589,489,589,489
